NAME,SIZE,LOCATION_HQ,INDUSTRY,RATING_OVERALL,RATING_DI,RATING_CV,RATING_WL,RATING_SM,RATING_CB,RATING_CO,NUM_REVIEWS,DESCRIPTION,MISSION
Google,10000+ Employees,"Mountain View, CA",Internet,4.5,4.4,4.4,4.3,4.1,4.5,4.3,"See All 18,362 Reviews",N/A,N/A
Microsoft,10000+ Employees,"Redmond, WA",Computer Hardware & Software,4.4,4.4,4.3,4.1,4.0,4.1,4.1,"See All 29,389 Reviews","Our drive to change the world unites us!

Microsoft is the ideal place for people who have passion for their work and the desire to make an impact—in their careers, in the community and on the world. Microsoft is a unique company; and not just within the tech industry. Here, smart people thrive on their own terms and push their intelligence to its limit. The variety of job opportunities and career advancement at Microsoft is incredible and empowers you to constantly challenge yourself and chart your own course.",N/A
Apple,10000+ Employees,"Cupertino, CA",Computer Hardware & Software,4.3,4.4,4.3,3.7,3.7,4.3,3.8,"See All 20,851 Reviews","We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all do what we love in new ways. The people who work here have reinvented entire industries with the Mac, iPhone, iPad, and Apple Watch, as well as with services, including Apple TV, the App Store, Apple Music, and Apple Pay. And the same innovation that goes into our products also applies to our practices — strengthening our commitment to leave the world better than we found it.

Every new product we invent, service we create, or store we open is the result of people working together to make each other’s ideas stronger. That happens here because every one of us strives toward a common goal — creating the best customer experiences. So bring your passion, courage, and original thinking and get ready to share it. This is where your work can make a difference in people’s lives. Including your own.",N/A
US Air Force,10000+ Employees,"Washington, DC",Federal Agencies,4.2,4.2,4.0,3.3,3.4,4.3,4.2,"See All 16,600 Reviews","The mission of the US Department of the Air Force is to fly, fight, and win -- in air, space, and cyberspace. Along with the Army, Navy, and Marine Corps, the US Air Force is a major military branch of the US Department of Defense responsible for defending the US and its interests through aerial, space, and cyber warfare. The agency includes more than a dozen major commands, including the Air Force Reserve and Air National Guard. It also consists of field operating agencies and direct reporting units, which are typically assigned to specialized missions. It has more than 150,000 civilian employees and 330,000 active duty personnel, some of whom are deployed in Afghanistan, Iraq, and the Asia/Pacific region.",N/A
Cisco Systems,10000+ Employees,"San Jose, CA",Computer Hardware & Software,4.2,4.3,4.3,4.2,3.8,4.1,3.9,"See All 21,804 Reviews","#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.

We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. A blockchain company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!

But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)

So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!","Mission: Cisco wants you to bring your uniqueness, join teams to solve challenges, and work together to get results. Be you, with us! #WeAreCisco!

Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward."
Capital One,10000+ Employees,"Mc Lean, VA",Banks & Credit Unions,4.1,4.2,4.1,4.1,3.6,4.2,3.7,"See All 9,224 Reviews","Capital One is where professional achievement meets personal satisfaction. Here, every day is another chance to do meaningful work and disrupt an entire industry in positive ways—while getting the opportunities, support and benefits you need.

Compassionate and curious. Inspirational and energized. That’s #LifeAtCapitalOne. Discover it for yourself today.","Mission: Capital One is an equal opportunity employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, sexual orientation, gender identity, protected veteran status, disability or other protected status."
Qualcomm,10000+ Employees,"San Diego, CA",Computer Hardware & Software,4.1,3.9,3.8,3.4,3.6,4.1,4.0,"See All 6,804 Reviews","We’re looking for inventive minds to help fuel what’s next in 5G.

Qualcomm is the wireless technology innovator and the company of inventors that unlocked 5G. We’re ushering in an age of rapid acceleration in wireless connectivity that’s transforming entire industries and enriching lives on a global scale. From smartphones to smart homes, mobile PCs to automotive, gaming to XR/VR/AR, and audio to factories of the future, 5G may be the most important technological development of the 21 st century — and Qualcomm is leading the way.

But this is just the beginning. It takes brilliant minds with diverse skills, backgrounds, and cultures to transform 5G’s potential into world-changing technologies and products. This is the Invention Age — and this is where you come in.",N/A
Intel Corporation,10000+ Employees,"Santa Clara, CA",Computer Hardware & Software,4.1,4.4,4.1,4.0,3.5,4.0,3.9,"See All 17,700 Reviews","Intel’s mission is to shape the future of technology to help create a better future for the entire world. By pushing forward in fields like AI, analytics and cloud-to-edge technology, Intel’s work is at the heart of countless innovations. From major breakthroughs like self-driving cars and rebuilding the coral reefs, to things that make everyday life better like blockbuster effects and improved shopping experiences — they’re all powered by Intel technology. With a career at Intel, you have the opportunity to help make the future more wonderful for everyone.

Join us.",N/A
Bank of America,10000+ Employees,"Charlotte, NC",Banks & Credit Unions,4.0,4.3,4.0,3.8,3.5,4.0,3.8,"See All 26,089 Reviews","Bank of America is one of the world's largest financial institutions, serving individuals, small- and middle-market businesses and large corporations with a full range of banking, investing, asset management and other financial and risk management products and services. The company serves approximately 56 million U.S. consumer and small business relationships. It is among the world's leading wealth management companies and is a global leader in corporate and investment banking and trading.",N/A
Accenture,10000+ Employees,"Dublin, Ireland",Consulting,4.0,4.2,3.9,3.4,3.5,3.9,3.9,"See All 73,977 Reviews","Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 500,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com.",N/A
